iso3,country,who_region,who_region_code,scenario,total_sugar_change_by_2030,forecast_year,forecast_obesity_pct,input_year,predicted_obesity_change_3yr,predicted_annualized_change,sugar_supply_kg_per_capita_assumption,sugar_supply_kcal_per_capita_day_assumption,model_name,model_type
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2026,13.758972735812153,2025,1.6731076453858933,0.5577025484619644,14.534342857142857,95.2168,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2027,14.398276134195727,2026,1.9179101951507271,0.6393033983835757,14.492457142857143,94.9424,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2028,15.136061338737349,2027,2.213355613624866,0.737785204541622,14.450571428571429,94.668,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2029,15.98952595337464,2028,2.560393843911875,0.8534646146372916,14.408685714285715,94.3936,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -2% by 2030,-0.02,2030,16.97631257350072,2029,2.9603598603782424,0.9867866201260808,14.3668,94.1192,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2024,12.708740935489814,2023,1.3320988064694386,0.4440329354898129,14.555285714285715,95.35400000000001,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2025,13.201284889875337,2024,1.4776318631565668,0.4925439543855223,14.450571428571429,94.668,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2026,13.75900596406974,2025,1.6731632225832063,0.5577210741944021,14.345857142857142,93.982,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2027,14.398308990158128,2026,1.9179090782651635,0.6393030260883878,14.241142857142858,93.296,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2028,15.13605287482372,2027,2.2132316539967762,0.737743884665592,14.136428571428572,92.61000000000001,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2029,15.989409592813695,2028,2.5600701539699267,0.8533567179899756,14.031714285714287,91.924,linear_regression,sugar_sensitivity_model
AGO,Angola,Africa,AFR,Sugar -5% by 2030,-0.05,2030,16.975993801570127,2029,2.959752626269292,0.9865842087564306,13.927,91.238,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Constant sugar,0.0,2024,24.131604924131246,2023,1.7877507723937311,0.5959169241312438,53.65,262.97,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Constant sugar,0.0,2025,24.750600102884224,2024,1.8569855362589365,0.6189951787529788,53.65,262.97,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Constant sugar,0.0,2026,25.39428166678607,2025,1.9310446917055373,0.6436815639018457,53.65,262.97,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Constant sugar,0.0,2027,26.064553011143204,2026,2.0108140330713953,0.6702713443571318,53.65,262.97,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Constant sugar,0.0,2028,26.763502588941357,2027,2.0968487333944625,0.6989495777981541,53.65,262.97,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Constant sugar,0.0,2029,27.49343327624722,2028,2.1897920619175877,0.7299306873058625,53.65,262.97,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Constant sugar,0.0,2030,28.256846359615107,2029,2.290239250103657,0.7634130833678857,53.65,262.97,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2024,24.131604924131246,2023,1.7877507723937311,0.5959169241312438,54.41642857142857,266.7267142857143,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2025,24.75042058154927,2024,1.8564469722540768,0.6188156574180256,55.18285714285714,270.4834285714286,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2026,25.39387553684691,2025,1.9303648658929204,0.6434549552976402,55.949285714285715,274.2401428571429,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2027,26.064149947583093,2026,2.0108232322085486,0.6702744107361829,56.715714285714284,277.99685714285715,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2028,26.76360071371473,2027,2.0983522983949086,0.6994507661316361,57.482142857142854,281.75357142857143,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2029,27.494842701299557,2028,2.1937259627544794,0.7312419875848265,58.248571428571424,285.5102857142857,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +10% by 2030,0.1,2030,28.260717226562438,2029,2.297623575788644,0.7658745252628814,59.015,289.26700000000005,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2024,24.131604924131246,2023,1.7877507723937311,0.5959169241312438,53.803285714285714,263.7213428571429,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2025,24.750564198617234,2024,1.8568778234579646,0.6189592744859882,53.95657142857143,264.4726857142858,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2026,25.394200440798237,2025,1.9309087265430138,0.6436362421810046,54.109857142857145,265.2240285714286,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2027,26.064472398431175,2026,2.0108158728988155,0.6702719576329385,54.26314285714285,265.9753714285714,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2028,26.763522213896017,2027,2.0971494463945293,0.6990498154648431,54.41642857142857,266.7267142857143,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2029,27.493715161257665,2028,2.1905788420849377,0.7301929473616459,54.569714285714284,267.47805714285715,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +2% by 2030,0.02,2030,28.25762053300454,2029,2.291716115240624,0.7639053717468746,54.723,268.22940000000006,linear_regression,sugar_sensitivity_model
ALB,Albania,Europe,EUR,Sugar +5% by 2030,0.05,2024,24.131604924131246,2023,1.7877507723937311,0.5959169241312438,54.03321428571428,264.84835714285714,linear_regression,sugar_sensitivity_model
